[Thu May 20 09:16:26.780770 2021] [mpm_winnt:notice] [pid 8984:tid 964] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu May 20 09:16:26.780770 2021] [mpm_winnt:notice] [pid 8984:tid 964] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu May 20 09:16:26.780770 2021] [core:notice] [pid 8984:tid 964] AH00094: Command line: 'C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder/apache2/bin/httpd_usbwv8.exe -d C:/Users/nhanp/Desktop/NucampFolder/8-OtherProject/webserverfolder/apache2'
[Thu May 20 09:16:26.786156 2021] [mpm_winnt:notice] [pid 8984:tid 964] AH00418: Parent: Created child process 16308
[Thu May 20 09:16:27.438713 2021] [mpm_winnt:notice] [pid 16308:tid 940] AH00354: Child: Starting 64 worker threads.
[Thu May 20 09:22:31.374162 2021] [:error] [pid 16308:tid 1456] [client ::1:50037] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:23:02.950377 2021] [:error] [pid 16308:tid 1456] [client ::1:50038] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:23:05.402394 2021] [:error] [pid 16308:tid 1456] [client ::1:50038] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:24:08.836673 2021] [:error] [pid 16308:tid 1456] [client ::1:50042] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:24:11.420038 2021] [:error] [pid 16308:tid 1456] [client ::1:50042] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:24:23.320455 2021] [:error] [pid 16308:tid 1456] [client ::1:50043] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:24:24.006434 2021] [:error] [pid 16308:tid 1456] [client ::1:50043] PHP Parse error:  syntax error, unexpected end of file in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 20, referer: http://localhost:8080/
[Thu May 20 09:41:46.475381 2021] [:error] [pid 16308:tid 1444] [client ::1:50357] PHP Parse error:  syntax error, unexpected 'INTO' (T_STRING) in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 12, referer: http://localhost:8080/
[Thu May 20 10:07:40.080520 2021] [:error] [pid 16308:tid 1452] [client ::1:50720] PHP Parse error:  syntax error, unexpected ';' in C:\\Users\\nhanp\\Desktop\\NucampFolder\\8-OtherProject\\webserverfolder\\root\\add_joke.php on line 15, referer: http://localhost:8080/index.php
